screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Clindamycin · HCl	A190	1-A02	CCC[C@@H]1CC(N(C1)C)C(=O)N[C@@H](C2[C@@H]([C@H](C([C@H](O2)SC)O)O)O)[C@H](C)Cl.Cl	(4R)-N-[(1S,2S)-2-chloro-1-[(3R,4R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide;hydrochloride	CCC[C@@H]1CC(N(C1)C)C(=O)N[C@@H](C2[C@@H]([C@H](C([C@H](O2)SC)O)O)O)[C@H](C)Cl.Cl	53384906	
Felbamate	DL567	1-A03	C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N	(3-carbamoyloxy-2-phenylpropyl) carbamate	(3-carbamoyloxy-2-phenylpropyl) carbamate	3331	DB00949
Cyclosporin A	A195	1-A04	CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(E,1S,2R)-1-hydroxy-2-methylhex-4-enyl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-di(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecazacyclotritriacontane-2,5,8,11,14,17,20,23,26,29,32-undecone	Cyclosporin A	5284373	DB00091
Donepezil·HCl	DL568	1-A05	COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC.Cl	2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one;hydrochloride	2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one;hydrochloride	5741	
Lincomycin·HCl monohydrate	A240	1-A06	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O	(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide	(2S,4R)-N-[(1R,2R)-2-hydroxy-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide	3000540	DB01627
Mycophenolic Acid	A249	1-A07	CC1=C(C(=C(C2=C1COC2=O)O)C/C=C(\C)/CCC(=O)O)OC	(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid	446541	DB01024
Rapamycin	A275	1-A08	"C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC
"	(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-32-hydrogenio-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0⁴,⁹]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone	Rapamycin	5284616	DB00877
Spectinomycin . dihydrochloride	A280	1-A09	C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O.O.O.O.O.O.Cl.Cl	(1R,3S,5R,8R,10R,11S,12S,13R,14S)-8,12,14-trihydroxy-5-methyl-11,13-bis(methylamino)-2,4,9-trioxatricyclo[8.4.0.0³,⁸]tetradecan-7-one pentahydrate dihydrochloride	C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O.O.O.O.O.O.Cl.Cl	30971	
Amiodarone hydrochloride	AC105	1-A10	CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone;hydrochloride	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone;hydrochloride	441325	
Nicardipine . hydrochloride	550273	1-A11	CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC.Cl	5-O-[2-[benzyl(methyl)amino]ethyl] 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate;hydrochloride	5-O-[2-[benzyl(methyl)amino]ethyl] 3-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate;hydrochloride	41114	
Pimozide	AC109	1-B02	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F	3-[1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl]-1H-benzimidazol-2-one	3-[1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl]-1H-benzimidazol-2-one	16362	DB01100
Loperamide . hydrochloride	550253	1-B03	CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide;hydrochloride	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide;hydrochloride	71420	
Tolbutamide	550301	1-B04	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C	1-butyl-3-(4-methylphenyl)sulfonylurea	1-butyl-3-(4-methylphenyl)sulfonylurea	5505	DB01124
Glipizide	550271	1-B05	CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3	N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide	N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide	3478	DB01067
Phentolamine Hydrochloride	AC121	1-B06	CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.Cl	3-[N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-4-methylanilino]phenol;hydrochloride	3-[N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-4-methylanilino]phenol;hydrochloride	5702144	
Quinine hydrochloride dihydrate	AC122	1-B07	[H+].COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.O.O.[Cl-]	(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;hydron;chloride;dihydrate	[H+].COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.O.O.[Cl-]	53395171	
Propafenone hydrochloride	AC124	1-B08	CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl	1-[2-[2-hydroxy-3-(propylamino)propoxy]phenyl]-3-phenylpropan-1-one;hydrochloride	1-[2-[2-hydroxy-3-(propylamino)propoxy]phenyl]-3-phenylpropan-1-one;hydrochloride	36708	
Phenytoin	AC125	1-B09	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	5,5-diphenylimidazolidine-2,4-dione	5,5-diphenylimidazolidine-2,4-dione	1775	DB00252
Procainamide . hydrochloride	550287	1-B10	CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl	4-amino-N-[2-(diethylamino)ethyl]benzamide;hydrochloride	4-amino-N-[2-(diethylamino)ethyl]benzamide;hydrochloride	66068	
Lidocaine . hydrochloride . hydrate	550251	1-B11	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.O.Cl	2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide;hydrate;hydrochloride	2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide;hydrate;hydrochloride	16219577	
Flecainide Acetate	AC130	1-C02	CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F	acetic acid;N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide	acetic acid;N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide	41022	
Rosiglitazone 	350125	1-C03	CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3	5-[[4-[2-[methyl(pyridin-2-yl)amino]ethoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione	CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3	77999	DB00412
Amantadine·HCl	AC133	1-C04	C1C2CC3CC1CC(C2)(C3)N.Cl	adamantan-1-amine;hydrochloride	adamantan-1-amine;hydrochloride	64150	
Prazosin hydrochloride	AC146	1-C05	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC.Cl	[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(furan-2-yl)methanone;hydrochloride	[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(furan-2-yl)methanone;hydrochloride	68546	
Clonidine . hydrochloride	550087	1-C06	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl	N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine;hydrochloride	C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl.Cl	20179	
Guananenz	AC153	1-C07	C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl	2-[(E)-(2,6-dichlorophenyl)methylideneamino]guanidine	2-[(E)-(2,6-dichlorophenyl)methylideneamino]guanidine	5702063	
